lead_id,company_size,industry,annual_revenue_musd,employee_count,job_title,website_visits_30d,email_opens_30d,email_clicks_30d,demo_requested,days_since_last_activity,deal_stage,lead_source,region,historical_purchase_count,months_since_first_contact,true_conversion_prob,converted,CLV_usd
L100013,Small,Energy,31.73,144,Manager,7,5,0,0,150,MQL,Partner,North America,0,45,0.0,0,18689.84
L100014,Small,Healthcare,1.86,134,Manager,6,2,0,0,31,Closed Won,Event,LATAM,1,0,0.13733878930750076,0,4722.76
L100015,Small,Manufacturing,51.4,139,Owner,2,2,1,1,78,MQL,Cold Email,APAC,0,26,0.058485664242783515,1,29171.9
L100016,Small,Retail,3.85,151,Director,6,4,0,0,115,MQL,Referral,India,0,38,0.0,0,1319.69
L100017,Medium,Energy,7.73,145,Manager,3,5,1,0,138,Opportunity,Cold Email,EMEA,0,5,0.0,0,3554.45
L100018,Small,Retail,16.26,159,Engineer,5,1,1,0,111,SQL,Cold Email,LATAM,1,51,0.032453934052606326,0,9075.43
L100019,Small,Retail,11.68,140,Manager,6,0,0,0,123,Closed Lost,Referral,LATAM,1,3,0.0,0,9253.49
L100020,Medium,Software,26.82,166,Engineer,3,3,3,0,43,SQL,Cold Email,EMEA,0,39,0.055026094019342026,0,16849.9
L100021,Small,Energy,2.46,134,Analyst,6,6,2,0,38,Opportunity,Website,APAC,0,8,0.12917154647895268,0,3308.46
L100022,Small,Healthcare,25.22,149,Owner,7,0,0,0,43,SQL,Partner,EMEA,0,25,0.09021789018069369,0,12601.49
L100023,Small,Retail,27.31,130,Director,4,7,0,0,114,Closed Lost,Cold Email,India,0,1,0.0,0,13022.67
L100024,Medium,Education,34.1,154,Owner,3,2,0,0,68,SQL,Referral,LATAM,0,23,0.05068111897615503,0,20440.94
L100025,Medium,Software,2.49,151,Engineer,9,3,0,0,116,Closed Won,Partner,EMEA,0,4,0.030989785437564997,0,3762.44
L100026,Small,Manufacturing,2.8,135,Analyst,7,3,0,0,3,Lead,Partner,LATAM,0,0,0.030664500111490037,0,845.81
L100027,Medium,Retail,8.65,145,CxO,6,5,1,0,109,SQL,Cold Email,LATAM,0,49,0.0498950379689377,0,6290.54
L100028,Medium,Retail,3.12,141,Owner,11,2,0,0,123,SQL,Cold Email,LATAM,0,54,0.029952617760464942,0,1287.05
L100029,Small,Software,2.01,157,Owner,1,4,0,0,6,SQL,Cold Email,EMEA,1,34,0.12191828855421498,1,10218.88
L100030,Medium,Healthcare,8.29,180,Manager,7,1,0,0,98,MQL,Event,EMEA,0,6,0.04563532168229612,0,6459.62
L100031,Small,Education,15.4,151,Owner,7,4,0,0,51,Opportunity,Partner,North America,0,3,0.12619415634982173,0,7067.98
L100032,Small,Manufacturing,200.13,152,VP,4,1,2,0,161,Closed Won,Event,EMEA,1,37,0.0,0,98722.93
L100033,Large,Retail,21.09,165,VP,4,3,0,1,27,Closed Lost,Cold Email,India,0,49,0.12945194507282487,0,15579.43
L100034,Large,Healthcare,70.26,147,Engineer,2,4,1,0,4,MQL,Referral,APAC,0,20,0.07607049245394214,0,41841.87
L100035,Large,Energy,11.66,166,Director,6,4,0,0,142,Opportunity,Cold Email,North America,0,8,0.023019003288424728,0,14860.24
L100036,Small,Education,21.32,157,Engineer,5,5,1,0,160,Closed Won,Cold Email,LATAM,0,25,0.0,0,8060.18
L100037,Small,Energy,10.53,157,Owner,6,3,1,0,47,Closed Lost,LinkedIn,EMEA,0,57,0.08301026008592113,1,11718.84
L100038,Medium,Education,178.24,153,Owner,9,2,0,1,27,MQL,Website,APAC,0,0,0.1846307280544933,0,93078.59
L100039,Small,Manufacturing,6.14,143,Analyst,6,5,1,0,83,Closed Won,Website,APAC,0,42,0.02106974626702442,0,1145.4
L100040,Small,Finance,7.03,160,Owner,6,3,1,1,27,SQL,Partner,APAC,0,19,0.15987950772118772,0,3692.39
L100041,Medium,Education,27.02,135,Analyst,7,1,0,0,116,Closed Lost,Partner,LATAM,0,50,0.0,0,13069.66
L100042,Small,Finance,14.99,167,Owner,6,3,0,0,78,MQL,Partner,North America,0,10,0.00878142741454166,0,7688.59
L100043,Large,Energy,7.97,167,Owner,8,2,2,0,119,MQL,Event,APAC,1,31,0.047642392832860134,0,22823.0
L100044,Small,Education,31.83,131,Engineer,2,0,1,0,162,Lead,Partner,North America,1,12,0.0,0,21225.28
L100045,Medium,Manufacturing,11.69,156,Engineer,5,2,0,0,63,SQL,LinkedIn,India,1,27,0.06597862684810145,0,9390.31
L100046,Small,Software,11.61,150,CxO,10,5,0,0,104,SQL,Website,India,0,50,0.06655386129430711,1,8415.3
L100047,Medium,Manufacturing,15.34,168,Analyst,3,7,0,0,26,MQL,Partner,APAC,1,9,0.07671294066918521,0,14258.84
L100048,Medium,Manufacturing,2.15,151,CxO,6,0,0,0,172,MQL,LinkedIn,APAC,1,1,0.0,0,10290.99
L100049,Small,Software,2.48,143,Engineer,6,4,0,0,9,Closed Lost,Cold Email,India,0,4,0.020828670062634308,0,3423.17
L100050,Large,Software,36.12,162,Director,7,5,2,0,13,Opportunity,Website,North America,1,59,0.22193074422502032,0,47638.91
L100051,Medium,Healthcare,6.19,163,Manager,3,4,1,0,174,Lead,Event,North America,2,6,0.0,0,19898.73
L100052,Large,Education,10.67,151,Analyst,10,3,0,0,76,MQL,LinkedIn,North America,0,32,0.08281092367112475,0,11021.32
L100053,Large,Energy,61.1,139,VP,4,5,0,1,65,Closed Lost,Event,EMEA,0,6,0.1324680953209865,1,77526.73
L100054,Medium,Healthcare,11.16,164,CxO,5,3,0,0,177,Closed Won,LinkedIn,India,0,1,0.0,0,4894.4
L100055,Large,Software,9.87,148,Analyst,1,4,0,0,42,Opportunity,Partner,EMEA,0,46,0.10244590691824851,1,52812.63
L100056,Small,Finance,29.85,146,Manager,4,5,0,0,168,MQL,Event,EMEA,0,56,0.0,0,16168.4
L100057,Small,Energy,6.7,163,CxO,4,4,0,0,40,SQL,Event,India,0,13,0.06648565418908932,0,1104.07
L100058,Small,Finance,40.57,157,Analyst,6,6,1,1,46,Lead,Website,EMEA,0,20,0.08101937736065588,0,23043.52
L100059,Small,Manufacturing,29.24,151,CxO,2,4,0,0,44,Opportunity,Partner,EMEA,2,49,0.12280508175453309,0,20986.4
L100060,Small,Retail,75.97,140,CxO,5,2,0,0,92,Closed Won,LinkedIn,LATAM,0,17,0.025965298583196683,0,38353.96
L100061,Small,Manufacturing,6.11,177,Engineer,5,1,0,0,64,Opportunity,Partner,India,1,13,0.14968055739062783,1,9220.66
L100062,Large,Manufacturing,47.8,135,Owner,5,5,2,0,16,Lead,Cold Email,APAC,0,42,0.09978546302444527,0,33596.38
L100063,Small,Retail,21.2,159,Engineer,7,3,0,0,171,Lead,Partner,APAC,0,52,0.0,0,10713.65
L100064,Small,Education,3.24,145,CxO,7,1,0,0,56,Opportunity,Partner,North America,0,12,0.04786179785977268,0,4944.49
L100065,Medium,Software,0.91,157,CxO,6,5,1,0,32,Closed Won,Website,North America,1,18,0.14413444073367954,0,10907.65
L100066,Small,Finance,5.48,118,Owner,4,3,0,0,62,Opportunity,Cold Email,APAC,1,20,0.07465955967108483,1,7363.64
L100067,Large,Manufacturing,16.32,145,VP,5,8,0,0,153,SQL,Cold Email,North America,0,50,0.043984784919780084,1,65191.67
L100068,Small,Retail,18.87,128,Manager,2,2,1,0,87,Opportunity,Partner,EMEA,0,29,0.047382285620504505,0,11295.09
L100069,Large,Healthcare,11.48,151,Owner,4,3,0,0,70,MQL,Referral,APAC,1,34,0.05436061503258736,0,26319.81
L100070,Medium,Manufacturing,11.59,160,Manager,9,4,0,0,170,MQL,Cold Email,APAC,2,31,0.0,0,23914.37
L100071,Small,Finance,10.74,147,Director,6,0,0,0,89,Closed Won,Partner,North America,1,50,0.1018551425484871,0,10962.88
L100072,Small,Software,34.17,148,Owner,4,6,0,0,13,MQL,Partner,North America,0,54,0.0038445263466298785,0,20379.65
L100073,Large,Manufacturing,2.9,150,Director,8,6,0,1,178,MQL,Website,EMEA,0,43,0.0,0,14143.41
L100074,Medium,Manufacturing,15.93,162,Director,5,2,0,0,124,Closed Lost,LinkedIn,EMEA,0,57,0.0,0,10799.56
L100075,Medium,Education,5.35,167,Engineer,8,2,0,0,164,Opportunity,Cold Email,LATAM,0,17,0.0,0,3784.79
L100076,Medium,Retail,4.92,163,Engineer,3,3,0,0,44,Opportunity,Cold Email,APAC,0,6,0.058281272719302654,0,6879.58
L100077,Small,Healthcare,39.5,151,VP,3,1,0,0,122,Lead,Referral,EMEA,0,49,0.0,0,21010.08
L100078,Small,Healthcare,4.56,174,Engineer,3,1,0,0,138,Closed Lost,Partner,EMEA,0,11,0.0,0,1963.43
L100079,Small,Energy,10.6,145,Director,5,2,0,0,64,MQL,Cold Email,EMEA,0,53,0.031197563516713427,0,5455.87
L100080,Large,Software,86.36,165,Analyst,8,2,0,0,162,MQL,LinkedIn,EMEA,0,9,0.0,0,47405.56
L100081,Medium,Energy,28.16,164,CxO,9,4,0,0,159,Closed Lost,Event,APAC,0,37,0.0,0,17644.33
L100082,Small,Finance,7.73,153,Director,7,4,1,0,177,Closed Lost,Cold Email,North America,2,2,0.0,0,11408.42
L100083,Small,Software,8.39,156,VP,4,3,1,0,32,Lead,Partner,North America,1,45,0.046353880421584184,0,11246.14
L100084,Small,Manufacturing,3.57,148,CxO,6,1,1,0,68,Lead,Event,India,1,47,0.10733342320265128,0,6671.92
L100085,Small,Manufacturing,44.73,162,Engineer,7,4,0,0,32,Closed Won,Referral,North America,1,8,0.1358720118396472,0,29804.16
L100086,Medium,Healthcare,33.49,148,CxO,2,4,0,0,65,Lead,Event,North America,0,56,0.0,0,20500.58
L100087,Medium,Finance,24.21,150,Analyst,3,1,0,0,32,Lead,Website,India,2,6,0.12351139664339987,0,23228.03
L100088,Large,Retail,27.03,162,VP,2,4,0,0,151,MQL,Event,LATAM,0,25,0.0,0,17423.62
L100089,Medium,Finance,5.62,156,Engineer,4,5,0,0,140,SQL,Event,LATAM,1,45,0.006246085230076314,0,8258.98
L100090,Small,Manufacturing,2.59,158,Manager,5,1,2,0,6,Closed Won,Event,India,0,44,0.098269305403065,0,2732.25
L100091,Medium,Retail,21.34,164,Director,6,3,1,0,34,Closed Won,LinkedIn,India,2,47,0.12715035411578726,0,22140.81
L100092,Medium,Finance,29.62,160,Owner,4,3,0,0,18,Closed Lost,Partner,APAC,0,17,0.07323039839388905,0,16032.4
L100093,Medium,Finance,60.77,130,Analyst,0,4,0,0,97,Opportunity,Referral,India,0,43,0.06560269842177127,0,32930.71
L100094,Medium,Retail,9.97,162,Analyst,6,3,0,0,161,Closed Won,Event,APAC,2,52,0.0,0,16088.44
L100095,Medium,Manufacturing,8.61,153,Owner,4,1,0,0,153,Lead,Website,LATAM,0,46,0.0,0,7160.31
L100096,Medium,Finance,9.59,163,Director,3,3,0,1,52,Closed Won,Cold Email,APAC,0,56,0.13477470132927824,0,8785.06
L100097,Small,Retail,23.83,151,VP,5,3,0,0,98,Closed Won,LinkedIn,North America,0,38,0.05346658197075242,0,15317.19
L100098,Small,Education,9.19,137,VP,6,2,0,0,150,Opportunity,Event,North America,1,58,0.0,0,7269.65
L100099,Small,Education,11.56,160,Analyst,4,3,1,0,9,Opportunity,Cold Email,India,1,17,0.11366760422277555,1,14798.37
L100100,Small,Manufacturing,27.97,147,Director,5,2,0,0,35,Closed Won,Cold Email,LATAM,1,45,0.13049518190252013,1,15841.81
L100101,Medium,Retail,6.52,174,CxO,4,5,0,0,102,MQL,Cold Email,India,0,17,0.0,0,3751.9
L100102,Small,Education,48.97,137,Manager,4,1,0,1,160,Lead,LinkedIn,LATAM,0,57,0.0021124106249010566,0,27790.07
L100103,Medium,Retail,22.94,144,Manager,4,2,0,0,64,Lead,Event,APAC,0,20,0.0,0,13394.96
L100104,Large,Finance,1.9,161,VP,1,4,0,0,126,Lead,Partner,North America,0,14,0.0,0,12091.3
L100105,Small,Manufacturing,7.28,150,VP,6,3,0,0,160,Opportunity,Event,EMEA,1,54,0.0,0,7029.39
L100106,Small,Education,1.61,156,CxO,5,2,0,0,118,Lead,LinkedIn,EMEA,0,5,0.0,0,1966.54
L100107,Medium,Energy,10.01,138,VP,4,4,0,0,70,MQL,Event,APAC,1,59,0.024714832790333582,0,16409.96
L100108,Small,Finance,7.4,153,Manager,6,3,0,0,143,Lead,Partner,EMEA,1,58,0.004724577381286885,0,4067.31
L100109,Small,Energy,28.07,171,Director,5,2,1,0,114,Opportunity,Referral,LATAM,1,42,0.04273452073762858,0,17007.08
L100110,Small,Energy,5.05,159,Analyst,1,4,0,0,13,MQL,LinkedIn,APAC,1,17,0.05463461450837547,0,4373.79
L100111,Small,Software,17.95,162,Manager,3,5,0,0,173,Closed Won,LinkedIn,EMEA,0,22,0.0,0,10417.78
L100112,Large,Software,21.52,132,CxO,6,2,0,0,164,SQL,LinkedIn,EMEA,0,31,0.047270738309771215,0,17019.25
L100113,Large,Manufacturing,15.76,140,Director,5,1,0,1,133,MQL,LinkedIn,North America,0,34,0.06396412217898478,0,17567.05
L100114,Medium,Education,38.1,143,Director,2,5,0,0,68,Opportunity,Partner,LATAM,1,54,0.03445995715764041,0,25642.13
L100115,Large,Education,96.38,153,Analyst,6,4,0,0,10,Closed Lost,LinkedIn,EMEA,1,34,0.1298959605024504,0,74184.49
L100116,Large,Education,13.63,141,Manager,6,1,1,0,137,MQL,Event,North America,1,1,0.0,0,35186.45
L100117,Small,Retail,18.27,133,Owner,4,2,0,0,145,MQL,LinkedIn,North America,0,23,0.0,0,8977.98
L100118,Large,Finance,5.05,157,Director,5,5,1,0,103,Opportunity,LinkedIn,EMEA,1,25,0.07659518379672017,0,25070.12
L100119,Medium,Education,4.4,158,Director,2,3,0,0,122,SQL,Event,India,0,54,0.024001994615564383,0,6690.92
L100120,Large,Finance,34.25,154,VP,9,4,1,0,81,Closed Won,Partner,EMEA,0,43,0.1482925945598218,0,25046.09
L100121,Large,Manufacturing,30.01,125,Director,4,2,1,0,130,Opportunity,LinkedIn,North America,0,53,0.030873181299047935,0,23778.74
L100122,Small,Energy,4.35,129,CxO,2,2,0,0,29,Closed Won,Website,North America,0,47,0.10387316447324611,1,10951.88
L100123,Small,Education,3.29,155,Director,1,3,0,0,50,Closed Won,Partner,EMEA,0,41,0.03464469432770613,0,2730.52
L100124,Small,Manufacturing,6.37,134,VP,5,2,0,0,140,Closed Lost,Cold Email,India,1,25,0.0,0,3843.11
L100125,Small,Education,10.58,150,Engineer,2,3,0,0,89,Lead,Partner,APAC,0,43,0.0,0,5832.08
L100126,Large,Software,8.09,137,Engineer,8,4,1,0,146,MQL,Website,India,0,3,0.0,0,9557.3
L100127,Large,Healthcare,14.3,144,CxO,6,3,0,0,10,SQL,LinkedIn,India,0,21,0.17387846539133134,0,8234.05
L100128,Small,Manufacturing,30.48,137,Analyst,4,1,1,0,68,Closed Won,Cold Email,India,0,50,0.06427864365937534,0,15099.7
L100129,Medium,Education,19.34,144,Analyst,3,4,0,0,24,Closed Lost,Event,EMEA,1,15,0.07832115880502048,0,16151.77
L100130,Small,Healthcare,20.82,144,Owner,8,10,0,1,92,Closed Won,Referral,APAC,0,55,0.10258761615243732,1,17126.71
L100131,Small,Manufacturing,1.05,120,Owner,0,1,0,0,21,MQL,Partner,India,0,29,0.0,0,1576.36
L100132,Small,Retail,2.43,148,CxO,4,0,1,0,172,Lead,Partner,India,0,1,0.0,0,1872.33
L100133,Small,Education,5.49,146,Director,2,5,0,0,159,Lead,Partner,LATAM,0,36,0.0,0,6569.93
L100134,Large,Retail,6.48,167,Director,7,2,0,0,162,SQL,Partner,India,0,17,0.0,0,10171.23
L100135,Small,Software,28.21,164,Engineer,2,3,1,0,56,Lead,Website,LATAM,1,18,0.03570389479973328,1,15659.38
L100136,Medium,Education,5.06,136,Engineer,4,3,0,0,179,SQL,Cold Email,APAC,0,29,0.0,0,4764.66
L100137,Medium,Energy,23.73,150,Manager,5,5,0,0,54,SQL,Website,India,0,8,0.020793105104254972,0,13935.58
L100138,Small,Software,5.56,137,Engineer,7,3,0,1,89,Closed Lost,Referral,North America,2,59,0.08572444999843974,0,10795.62
L100139,Large,Healthcare,3.67,151,Owner,1,3,1,0,130,Closed Lost,LinkedIn,EMEA,0,30,0.0,0,10630.11
L100140,Large,Manufacturing,3.84,154,Engineer,5,4,0,0,35,Closed Lost,Website,North America,0,17,0.08999592056538062,0,12150.37
L100141,Small,Finance,116.54,145,CxO,6,4,0,0,59,Closed Won,Partner,India,1,44,0.026833787953988192,0,61546.71
L100142,Medium,Software,5.43,154,Manager,2,5,0,0,119,SQL,Referral,India,0,4,0.0010388078736049723,0,195.62
L100143,Small,Finance,24.31,156,Analyst,3,7,0,0,158,Opportunity,Referral,LATAM,1,9,0.0,0,11667.85
L100144,Small,Finance,2.56,151,Manager,1,1,0,0,6,Closed Lost,Referral,APAC,0,37,0.04922763705698642,1,8848.13
L100145,Small,Manufacturing,50.35,157,Director,7,3,0,0,83,SQL,Event,North America,0,21,0.12484570197742016,1,32021.41
L100146,Medium,Healthcare,17.27,162,Director,3,3,0,0,106,SQL,Website,India,0,48,0.0,0,9140.89
L100147,Medium,Manufacturing,16.02,147,Manager,6,5,1,0,82,Opportunity,Referral,EMEA,1,39,0.10159376595776089,0,17082.65
L100148,Small,Education,18.43,152,Manager,4,3,0,0,44,MQL,Cold Email,EMEA,0,15,0.04859216815490851,0,12992.99
L100149,Small,Software,20.57,158,Director,4,3,1,0,39,Closed Lost,LinkedIn,APAC,0,22,0.0,0,10888.16
L100150,Large,Finance,27.36,140,Owner,9,4,1,0,68,Lead,Referral,North America,0,29,0.0879196568429587,0,24950.81
L100151,Small,Manufacturing,6.69,145,CxO,11,5,0,0,117,Lead,Cold Email,LATAM,0,59,0.027846940906051373,0,1993.49
L100152,Small,Manufacturing,6.31,140,CxO,8,2,0,0,31,Lead,LinkedIn,LATAM,0,9,0.07303697624853875,0,5206.67
L100153,Medium,Manufacturing,12.8,143,CxO,7,3,0,1,173,MQL,Website,LATAM,0,10,0.02834583691791391,0,5806.22
L100154,Large,Software,24.15,177,CxO,5,2,1,0,144,Closed Lost,Cold Email,LATAM,1,27,0.018825887852994924,0,20509.04
L100155,Small,Healthcare,11.4,159,Director,5,5,0,1,135,Opportunity,LinkedIn,EMEA,0,29,0.037779731012309754,0,10262.87
L100156,Medium,Energy,26.41,144,Owner,8,3,1,0,98,Lead,Website,EMEA,1,36,0.08310638691950967,0,21796.78
L100157,Medium,Manufacturing,22.6,124,VP,6,5,0,0,133,Closed Lost,LinkedIn,India,0,24,0.0,0,17321.18
L100158,Small,Software,9.81,157,Engineer,5,4,0,0,62,Lead,Website,India,0,26,0.0,0,6326.67
L100159,Medium,Finance,2.12,181,Engineer,6,4,1,0,43,SQL,Partner,North America,1,7,0.08347506718307054,0,12161.37
L100160,Small,Education,7.36,164,Engineer,4,4,0,0,33,MQL,Partner,North America,0,46,0.0,0,1331.63
L100161,Medium,Energy,69.6,126,Engineer,5,1,0,0,0,Lead,Event,APAC,1,9,0.12925094253317065,0,43517.69
L100162,Medium,Retail,17.12,165,Director,4,4,0,0,91,MQL,LinkedIn,EMEA,0,59,0.0,0,16142.55
L100163,Medium,Energy,6.43,136,VP,3,8,0,0,114,Lead,Partner,APAC,0,37,0.0,0,6958.4
L100164,Small,Energy,15.65,174,Director,5,4,0,0,27,Lead,Cold Email,LATAM,0,33,0.054237128008297955,0,12230.79
L100165,Large,Software,23.97,158,VP,7,4,0,0,70,Lead,Referral,India,0,28,0.1148769637373958,0,19527.42
L100166,Small,Retail,6.43,145,Director,6,4,1,0,74,Opportunity,LinkedIn,India,0,16,0.032978048726861844,0,4666.67
L100167,Small,Manufacturing,41.9,147,Owner,8,5,0,0,93,SQL,Website,APAC,0,26,0.06779927406670246,0,17040.8
L100168,Small,Manufacturing,20.0,153,Manager,6,3,0,0,107,Opportunity,LinkedIn,APAC,1,52,0.09063861940004188,0,9541.5
L100169,Medium,Energy,4.06,157,VP,6,2,0,0,5,MQL,Partner,EMEA,0,49,0.13799573905219925,1,19671.73
L100170,Medium,Software,28.68,148,Engineer,4,4,1,0,168,SQL,Website,LATAM,0,22,0.0,0,18343.98
L100171,Small,Retail,8.09,155,VP,3,2,0,0,79,Closed Won,Cold Email,North America,0,26,0.023340368251687144,0,5172.8
L100172,Medium,Manufacturing,10.18,155,Analyst,5,4,1,0,82,Opportunity,Partner,North America,0,37,0.06551621255169958,0,10909.66
L100173,Small,Finance,4.41,140,CxO,8,2,0,0,153,SQL,Partner,APAC,0,9,0.04278273285863472,0,262.02
L100174,Medium,Healthcare,22.91,144,VP,6,4,0,0,142,Lead,LinkedIn,APAC,1,15,0.013259924812350731,0,21238.5
L100175,Small,Healthcare,10.5,155,Analyst,5,4,0,0,33,Closed Lost,Referral,APAC,1,49,0.06124780097655182,0,7131.13
L100176,Medium,Manufacturing,23.9,149,CxO,6,4,0,0,13,Lead,Referral,North America,0,5,0.08828359670371064,0,14650.41
L100177,Small,Retail,7.02,144,Analyst,9,0,2,0,101,Opportunity,LinkedIn,India,0,0,0.010061631581265017,0,5066.55
L100178,Large,Education,6.26,156,CxO,9,6,0,0,83,SQL,Partner,India,0,24,0.13836138777007692,0,3603.36
L100179,Small,Manufacturing,5.78,137,Manager,6,3,1,0,115,Closed Lost,Website,North America,0,48,0.0,0,1855.89
L100180,Small,Education,18.1,152,VP,4,1,0,0,11,Opportunity,Cold Email,India,0,16,0.11171465853303716,0,14989.49
L100181,Small,Education,6.17,152,Analyst,5,2,0,0,36,Closed Won,Cold Email,EMEA,0,32,0.10030751384481064,0,4087.24
L100182,Large,Retail,9.94,146,Owner,4,0,0,0,159,MQL,Referral,APAC,0,31,0.0,0,15141.57
L100183,Large,Education,7.25,164,Manager,3,3,0,1,136,Opportunity,Website,LATAM,1,13,0.11221474368883706,0,15951.04
L100184,Small,Finance,18.92,154,Engineer,10,3,0,0,121,Closed Lost,Website,LATAM,0,3,0.010117936418494183,0,7651.02
L100185,Medium,Retail,2.15,137,VP,3,3,0,0,36,MQL,Event,India,0,31,0.032746239764937866,0,3409.41
L100186,Large,Manufacturing,15.6,156,Director,7,1,0,0,127,Closed Lost,Event,North America,0,16,0.0,0,16049.59
L100187,Medium,Energy,68.81,147,Director,9,4,0,0,136,SQL,Event,EMEA,0,24,0.060150642011539954,0,37671.21
L100188,Medium,Finance,41.93,160,Director,2,3,1,0,146,Closed Lost,LinkedIn,LATAM,1,58,0.0,0,27978.99
L100189,Small,Software,6.58,157,Owner,7,5,0,0,102,Closed Lost,Cold Email,LATAM,1,50,0.024462422341967553,0,8979.18
L100190,Small,Healthcare,19.98,148,Analyst,3,1,1,0,63,Closed Won,Cold Email,India,0,13,0.029069707955247694,0,10340.84
L100191,Large,Manufacturing,16.45,136,Analyst,8,1,1,0,7,Opportunity,Partner,North America,0,5,0.21926393002901254,1,67693.19
L100192,Large,Manufacturing,52.95,134,CxO,8,4,1,0,139,SQL,LinkedIn,LATAM,0,10,0.022738184613744182,0,31759.91
L100193,Medium,Manufacturing,0.99,138,Director,4,3,0,1,36,Closed Lost,LinkedIn,EMEA,0,27,0.14400860407437732,1,17775.58
L100194,Small,Finance,37.07,167,Engineer,6,3,0,1,15,Closed Lost,Partner,APAC,0,8,0.12566645415735225,0,18052.83
L100195,Small,Software,9.32,147,Analyst,4,3,0,0,104,Closed Lost,Cold Email,North America,0,7,0.0,0,6282.9
L100196,Medium,Energy,5.79,134,Owner,4,5,1,0,130,Opportunity,Website,APAC,0,29,0.0,0,4280.41
L100197,Large,Retail,5.63,153,VP,5,5,0,0,135,Closed Lost,LinkedIn,APAC,0,59,0.018037323190765446,0,9767.42
L100198,Large,Software,3.32,166,Analyst,5,4,0,0,138,Lead,Website,North America,0,43,0.0,0,11712.52
L100199,Medium,Finance,6.59,156,VP,7,4,2,0,81,SQL,Referral,EMEA,0,37,0.12348575141559823,0,1662.1
L100200,Medium,Manufacturing,4.14,133,Owner,3,3,0,1,73,Closed Won,Event,EMEA,3,57,0.1301634970910778,0,20801.58
L100201,Small,Healthcare,14.59,137,Analyst,3,1,1,0,142,Closed Lost,Referral,India,0,15,0.0,0,9955.8
L100202,Small,Manufacturing,21.98,143,CxO,2,4,0,0,22,SQL,LinkedIn,North America,0,19,0.10234954954373834,0,12183.65
L100203,Large,Retail,9.43,147,CxO,3,3,0,0,11,Closed Lost,LinkedIn,North America,0,9,0.07654001954264114,0,15944.89
L100204,Medium,Education,54.58,153,CxO,3,1,0,0,130,Closed Won,Cold Email,India,1,52,0.04993292677531885,0,31492.36
L100205,Small,Healthcare,7.04,164,Engineer,4,5,1,1,60,Lead,Website,EMEA,0,34,0.07439540090283474,0,4344.68
L100206,Small,Manufacturing,8.95,145,Analyst,3,2,1,0,34,Closed Lost,Website,North America,1,6,0.02867283757666168,0,4978.08
L100207,Medium,Energy,7.59,195,VP,6,5,0,1,128,Lead,Partner,North America,1,9,0.10849102223670196,0,17211.93
L100208,Small,Healthcare,22.17,168,Owner,6,3,1,0,99,MQL,Website,APAC,0,20,0.017369069882451522,0,14623.38
L100209,Small,Education,24.52,153,Analyst,7,5,0,0,121,MQL,Cold Email,APAC,1,29,0.0111571093483829,0,14213.08
L100210,Medium,Software,19.99,135,Owner,8,3,0,0,116,Lead,Event,EMEA,1,43,0.0,0,14613.11
L100211,Medium,Finance,10.76,144,Manager,4,2,1,0,110,Lead,Referral,APAC,1,5,0.025440868399422552,0,18698.51
L100212,Medium,Manufacturing,3.19,163,CxO,4,1,1,0,13,MQL,LinkedIn,APAC,0,33,0.08304840725450732,0,6154.35
L100213,Small,Retail,8.85,155,Director,5,4,1,0,83,MQL,Website,EMEA,0,11,0.0,0,6690.04
L100214,Medium,Software,53.42,138,Owner,6,3,0,1,83,MQL,Website,EMEA,0,41,0.10566611095545261,0,31713.29
